"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
24033807000,"College Park, MD",35212
11001004001,"Adams Morgan, Washington, DC",35082
51013101403,"Virginia Square, Arlington, VA",35074
11001004202,"Northwest Washington, Washington, DC",35067
24033803512,"Upper Marlboro, MD",35041
51059450702,"Annandale, VA",35021
51059420600,"Groveton, Alexandria, VA",35012
11001001302,"Forest Hills, Washington, DC",35010
51013101402,"Virginia Square, Arlington, VA",35007
51013103602,"Aurora Highlands, Arlington, VA",34989
51013102600,"Douglas Park, Arlington, VA",34897
51013103402,"Crystal City, Arlington, VA",34894
51013102400,"Arlington Heights, Arlington, VA",34862
51510201802,"Old Town, Alexandria, VA",34786
51059450200,"Falls Church, VA",34755
51059415200,"Alexandria, VA",34745
11001002302,"Northwest Washington, Washington, DC",34649
51059430700,"Springfield, VA",34597
11001001902,"Manor Park, Washington, DC",34547
51059451900,"Alexandria, VA",34500
51013101802,"Court House, Arlington, VA",34456
51510201900,"Old Town, Alexandria, VA",34352
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",34336
51013102001,"Buckingham, Arlington, VA",34285
11001005301,"Northwest Washington, Washington, DC",34279
51013103000,"Shirlington, Arlington, VA",34277
24033803522,"Bowie, MD",34257
24033803521,"Bowie, MD",34213
24033800412,"Lanham, MD",34212
51013101803,"Lyon Park, Arlington, VA",34185
51059451602,"Falls Church, VA",34098
51013102902,"Shirlington, Arlington, VA",34062
24031704806,"Bethesda, MD",33875
24033803605,"New Carrollton, MD",33857
24033806711,"Greenbelt, MD",33854
24031702700,"Silver Spring, MD",33838
51059450602,"Falls Church, VA",33786
51013100800,"High View Park, Arlington, VA",33749
24033801407,"Fort Washington, MD",33713
11001009901,"Penn Branch, Washington, DC",33672
24033805802,"Hyattsville, MD",33658
24031701701,"Takoma Park, MD",33598
11001007301,"Southwest Washington, Washington, DC",33585
24031705602,"Chevy Chase, MD",33533
24033801901,"Temple Hills, MD",33525
51510201801,"Northeast Alexandria, Alexandria, VA",33491
51510200407,"Landmark, Alexandria, VA",33469
24033806100,"Hyattsville, MD",33434
24031702602,"Silver Spring, MD",33367
51013101603,"North Rosslyn, Arlington, VA",33311
51510200802,"Taylor Run, Alexandria, VA",33275
24033800701,"Upper Marlboro, MD",33260
51059452802,"Bailey's Crossroads, VA",33245
51013102702,"Douglas Park, Arlington, VA",33198
51510200201,"Seminary Hill, Alexandria, VA",33194
11001010200,"Southwest Washington, Washington, DC",33151
11001001702,"Northwest Washington, Washington, DC",33038
24033804101,"Cheverly, MD",32950
24033803610,"New Carrollton, MD",32927
51510200600,"Seminary Hill, Alexandria, VA",32916
51059471301,"Falls Church, VA",32911
24033803513,"Largo, MD",32874
24031701800,"Takoma Park, MD",32864
51013103300,"Arlington Views, Arlington, VA",32853
24033801211,"Clinton, MD",32852
11001000702,"Northwest Washington, Washington, DC",32846
51059452700,"Falls Church, VA",32842
51013103200,"Columbia Heights, Arlington, VA",32705
24033803601,"Springdale, MD",32645
24033803606,"Lanham, MD",32627
51510201300,"Del Ray, Alexandria, VA",32622
24033801104,"Joint Base Andrews, MD",32577
24033802301,"District Heights, MD",32575
51013102901,"Shirlington, Arlington, VA",32575
24033801905,"Suitland, Camp Springs, MD",32553
24033806200,"Hyattsville, MD",32542
51013101602,"Colonial Village, Arlington, VA",32518
24033806712,"Greenbelt, MD",32467
11001010300,"Northwest Washington, Washington, DC",32322
24033803519,"Landover, Hyattsville, MD",32294
24033805500,"Hyattsville, MD",32279
24033801404,"National Harbor, Oxon Hill, MD",32240
11001003900,"Lanier Heights, Washington, DC",32207
51510200106,"Alexandria West, Alexandria, VA",32204
24033803527,"Upper Marlboro, MD",32204
51059420502,"Alexandria, VA",32157
24031701704,"Takoma Park, MD",32137
51510200500,"Seminary Hill, Alexandria, VA",31984
11001009503,"Northeast Washington, Washington, DC",31970
24031702601,"Downtown Silver Spring, Silver Spring, MD",31936
51013102302,"Barcroft, Arlington, VA",31921
51510200107,"Alexandria West, Alexandria, VA",31868
24033805202,"Takoma Park, MD",31808
24033800413,"Lanham, MD",31805
11001009000,"Fort Lincoln, Washington, DC",31791
24033801408,"Fort Washington, MD",31769
51510200102,"Alexandria West, Alexandria, VA",31750
24031701703,"Takoma Park, MD",31739
11001011000,"Southwest Washington, Washington, DC",31681
24033803607,"Lanham, MD",31653
11001009504,"Michigan Park, Washington, DC",31624
51510200701,"Eisenhower West, Alexandria, VA",31591
24033801212,"Camp Springs, MD",31589
51059420503,"Alexandria, VA",31552
24033802204,"District Heights, MD",31536
11001001901,"Brightwood, Washington, DC",31531
51059451502,"Bailey's Crossroads, VA",31529
24031704803,"Bethesda, MD",31519
24033803608,"Lanham, MD",31501
11001005800,"Northwest Washington, Washington, DC",31488
11001008100,"Northeast Washington, Washington, DC",31469
24033801904,"Suitland, Camp Springs, MD",31399
24033805101,"Chillum, MD",31388
24031702500,"Downtown Silver Spring, Silver Spring, MD",31346
24033803514,"Largo, MD",31189
24033804900,"Hyattsville, MD",31149
51013103501,"Arlington Ridge, Arlington, VA",31090
11001002701,"Northwest Washington, Washington, DC",31013
11001009505,"Northeast Washington, Washington, DC",30983
24033801214,"Clinton, MD",30936
24033801706,"Temple Hills, MD",30917
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",30829
11001009507,"Northeast Washington, Washington, DC",30796
24033803803,"Riverdale, Woodlawn, MD",30732
11001005600,"Northwest Washington, Washington, DC",30697
24033803524,"Hyattsville, MD",30542
11001000501,"Northwest Washington, Washington, DC",30536
51510200703,"Southwest Quadrant, Alexandria, VA",30526
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",30477
24033803700,"Hyattsville, MD",30466
51013103800,"Long Branch Creek, Arlington, VA",30442
11001002400,"Northwest Washington, Washington, DC",30427
24033805201,"Hyattsville, MD",30400
24031702000,"New Hampshire Estates, Silver Spring, MD",30400
24033805000,"Hyattsville, MD",30356
24033805700,"Hyattsville, MD",30338
51013102003,"Buckingham, Arlington, VA",30322
24033806602,"Riverdale, East Riverdale, MD",30286
24033806300,"Hyattsville, MD",30280
51059451601,"Bailey's Crossroads, VA",30227
24033806000,"Hyattsville, MD",30225
51013102200,"Arlington Mill, Arlington, VA",30218
51510200103,"Alexandria West, Alexandria, VA",30176
51013102801,"Columbia Forest, Arlington, VA",30140
51013102500,"Penrose, Arlington, VA",30095
24033801405,"Oxon Hill, MD",30077
51510201202,"Potomac West, Alexandria, VA",30075
24033802203,"Forestville, MD",30047
11001002001,"16th Street Heights, Washington, DC",30022
24033803602,"Glenarden, MD",29990
51510200303,"Landmark, Alexandria, VA",29960
51510200105,"Alexandria West, Alexandria, VA",29950
51059451400,"Seven Corners, VA",29943
51510200405,"Landmark, Alexandria, VA",29921
24033803613,"Lanham, MD",29908
51510200301,"Seminary Hill, Alexandria, VA",29907
11001009508,"Northeast Washington, Washington, DC",29881
24033801409,"Fort Washington, MD",29844
51059452502,"Lincolnia, VA",29655
24031702402,"Silver Spring, MD",29573
24033806501,"Riverdale, Riverdale Park, MD",29541
51510200406,"Landmark, Alexandria, VA",29523
24033804700,"Mount Rainier, MD",29517
11001008302,"Northeast Washington, Washington, DC",29495
24033805909,"Hyattsville, MD",29400
51510200104,"Alexandria West, Alexandria, VA",29237
11001009400,"Northeast Washington, Washington, DC",29165
24033802804,"Capitol Heights, MD",29159
24033802103,"District Heights, MD",29103
24031702301,"Silver Spring, MD",29101
11001002702,"Mount Pleasant, Washington, DC",29074
24033804002,"Bladensburg, MD",29070
24033804600,"Brentwood, MD",28939
11001004902,"Downtown, Washington, DC",28922
51013102701,"Douglas Park, Arlington, VA",28914
24033804102,"Hyattsville, MD",28893
24033803002,"Capitol Heights, MD",28867
11001009201,"Edgewood, Washington, DC",28769
11001007603,"Southeast Washington, Washington, DC",28752
24033801701,"Temple Hills, MD",28749
24033801708,"Oxon Hill, MD",28662
24033801804,"Temple Hills, MD",28649
11001002102,"Northwest Washington, Washington, DC",28623
11001009302,"Brookland, Washington, DC",28619
24033801907,"Suitland, Suitland-Silver Hill, MD",28562
24033802201,"Upper Marlboro, MD",28545
24033805908,"Chillum, MD",28506
11001001804,"Brightwood, Washington, DC",28363
11001002002,"16th Street Heights, Washington, DC",28331
24033806601,"Prince Georges County, MD",28303
24033805602,"Hyattsville, MD",28278
11001004300,"Northwest Washington, Washington, DC",28276
24033802502,"Capitol Heights, MD",28150
24033804400,"Brentwood, MD",28123
24033802104,"District Heights, MD",28040
24033803801,"Hyattsville, MD",27903
11001011100,"Northeast Washington, Washington, DC",27895
11001009509,"Michigan Park, Washington, DC",27892
11001009604,"Northeast Washington, Washington, DC",27815
11001001803,"Brightwood, Washington, DC",27804
11001009301,"Northeast Washington, Washington, DC",27734
51013103100,"Nauck, Arlington, VA",27724
11001002101,"Brightwood Park, Washington, DC",27513
11001002201,"Northwest Washington, Washington, DC",27395
24033804802,"Mount Rainier, MD",27381
11001002502,"Northwest Washington, Washington, DC",27380
24033803612,"Lanham, MD",27353
11001006900,"Southeast Washington, Washington, DC",27291
11001002202,"Northwest Washington, Washington, DC",27262
24033802501,"Suitland, Suitland-Silver Hill, MD",27240
24033801808,"Hillcrest Heights, MD",27221
24033801906,"Morningside, MD",27209
24033801807,"Hillcrest Heights, MD",27165
24033802803,"Capitol Heights, MD",27138
11001005201,"Downtown, Washington, DC",27075
24033801500,"Oxon Hill, MD",27035
11001009902,"Southeast Washington, Washington, DC",27029
11001007807,"Northeast Washington, Washington, DC",26986
11001003302,"Bloomingdale, Washington, DC",26958
11001007000,"Southeast Washington, Washington, DC",26929
24033802002,"District Heights, MD",26919
24033802404,"District Heights, MD",26900
11001006802,"Barney Circle, Washington, DC",26896
24033801802,"Temple Hills, MD",26878
11001004002,"Adams Morgan, Washington, DC",26876
11001005002,"Downtown, Washington, DC",26797
24033802408,"Capitol Heights, MD",26739
24033802001,"Suitland, Suitland-Silver Hill, MD",26650
24033801908,"Suitland, Suitland-Silver Hill, MD",26592
11001002301,"Northwest Washington, Washington, DC",26532
11001008402,"Northeast Washington, Washington, DC",26517
11001002801,"Columbia Heights, Washington, DC",26513
51059420400,"Alexandria, VA",26465
51510201600,"Old Town West, Alexandria, VA",26461
24031701702,"Takoma Park, MD",26403
24033801702,"Temple Hills, MD",26269
11001007707,"Benning Ridge, Washington, DC",26225
11001009203,"Northeast Washington, Washington, DC",26205
24033802407,"District Heights, MD",26195
11001002802,"Columbia Heights, Washington, DC",26189
24033803508,"Glenarden, MD",26166
24033801805,"Temple Hills, MD",26109
24033803001,"Capitol Heights, MD",25991
24033802405,"Suitland, Suitland-Silver Hill, MD",25952
11001009501,"Northeast Washington, Washington, DC",25921
24033802406,"Suitland, Suitland-Silver Hill, MD",25908
11001002900,"Northwest Washington, Washington, DC",25903
24031701900,"Takoma Park, MD",25894
24033802107,"District Heights, MD",25708
11001002501,"16th Street Heights, Washington, DC",25704
24033801801,"Temple Hills, MD",25685
11001007806,"Northeast Washington, Washington, DC",25667
11001009603,"Northeast Washington, Washington, DC",25636
24033803900,"Hyattsville, MD",25588
11001007808,"Grant Park, Washington, DC",25522
24033803100,"Capitol Heights, MD",25439
11001003700,"Northwest Washington, Washington, DC",25382
11001007803,"Lower Central NE, Washington, DC",25353
11001010500,"Southwest Washington, Washington, DC",25134
24033802700,"Capitol Heights, MD",25077
24033801707,"Oxon Hill, MD",25056
24033803300,"Hyattsville, MD",25046
11001007809,"Northeast Washington, Washington, DC",25012
24033803525,"Hyattsville, MD",24995
24033803402,"Landover, Hyattsville, MD",24975
11001003800,"Northwest Washington, Washington, DC",24931
24033802901,"Capitol Heights, MD",24907
11001006801,"Hill East, Washington, DC",24861
11001007903,"Kingman Park, Washington, DC",24830
24033802106,"Suitland-Silver Hill, MD",24807
11001010400,"Southeast Washington, Washington, DC",24799
11001004801,"Northwest Washington, Washington, DC",24773
11001003200,"Northwest Washington, Washington, DC",24698
24033804001,"Bladensburg, MD",24673
24033801600,"Oxon Hill, MD",24670
24033804300,"Hyattsville, MD",24613
11001008002,"Northeast Washington, Washington, DC",24441
24033802805,"Pepper Mill Village, Capitol Heights, MD",24419
51510201204,"Del Ray, Alexandria, VA",24378
24033801704,"Oxon Hill, MD",24346
11001009903,"Southeast Washington, Washington, DC",24294
24033802600,"Capitol Heights, MD",24258
11001004802,"Northwest Washington, Washington, DC",24226
11001003301,"Bloomingdale, Washington, DC",24120
11001007604,"Southeast Washington, Washington, DC",24038
51510201203,"Potomac West, Alexandria, VA",24015
11001007703,"Fort Dupont, Washington, DC",24004
11001007403,"Shipley, Washington, DC",23876
11001007708,"Southeast Washington, Washington, DC",23862
11001009804,"Southeast Washington, Washington, DC",23839
24033805601,"Hyattsville, MD",23728
24033804801,"Mount Rainier, MD",23670
11001008410,"Northeast Washington, Washington, DC",23486
11001008802,"Northeast Washington, Washington, DC",23482
11001007709,"Fairlawn, Washington, DC",23478
11001008001,"Northeast Washington, Washington, DC",23468
11001004201,"Northwest Washington, Washington, DC",23454
24033803200,"Hyattsville, MD",23439
11001009803,"Congress Heights, Washington, DC",23412
11001009700,"Southeast Washington, Washington, DC",23404
11001009602,"Mayfair, Washington, DC",23319
11001007304,"Congress Heights, Washington, DC",23243
11001009905,"Marshall Heights, Washington, DC",23188
11001004600,"Northwest Washington, Washington, DC",23088
11001003600,"Columbia Heights, Washington, DC",23059
11001003100,"Northwest Washington, Washington, DC",23038
11001003000,"Columbia Heights, Washington, DC",23001
11001009807,"Bellevue, Washington, DC",23000
11001007605,"Fairlawn, Washington, DC",22982
24033803401,"Landover, Hyattsville, MD",22956
11001007503,"Historic Anacostia, Washington, DC",22652
11001009102,"Brentwood, Washington, DC",22593
11001007407,"Barry Farm, Washington, DC",22586
11001008701,"Eckington, Washington, DC",22464
11001009601,"Kenilworth, Washington, DC",22413
11001003500,"Northwest Washington, Washington, DC",22219
11001004901,"Northwest Washington, Washington, DC",22176
11001005900,"Northwest Washington, Washington, DC",22154
24033803509,"Dodge Park, Hyattsville, MD",22091
11001007504,"Historic Anacostia, Washington, DC",21958
11001007601,"Southeast Washington, Washington, DC",21940
11001007100,"Southeast Washington, Washington, DC",21665
11001004400,"Northwest Washington, Washington, DC",21643
11001007804,"Lincoln Heights, Washington, DC",21589
11001007409,"Southeast Washington, Washington, DC",21575
11001009906,"Marshall Heights, Washington, DC",21519
11001008702,"Eckington, Washington, DC",21257
11001005001,"Logan Circle, Washington, DC",21178
11001008904,"Carver / Langston, Washington, DC",21150
11001007408,"Southeast Washington, Washington, DC",21036
11001007502,"Southeast Washington, Washington, DC",21022
11001009907,"Southeast Washington, Washington, DC",21011
11001010600,"Near Northeast, Washington, DC",20989
11001008903,"Carver / Langston, Washington, DC",20777
11001009801,"Southeast Washington, Washington, DC",20649
11001009811,"Southeast Washington, Washington, DC",20558
11001010900,"Southwest Washington, Washington, DC",20475
11001007406,"Southeast Washington, Washington, DC",20338
11001007901,"Northeast Washington, Washington, DC",20026
11001009810,"Southeast Washington, Washington, DC",20002
11001009904,"Marshall Heights, Washington, DC",19966
11001008804,"Northeast Washington, Washington, DC",19915
11001009204,"Edgewood, Washington, DC",19877
11001006400,"Southwest Washington, Washington, DC",19680
11001003400,"Howard University, Washington, DC",19062
11001008803,"Northeast Washington, Washington, DC",19035
11001007404,"Douglass, Washington, DC",18881
11001007401,"Barry Farm, Washington, DC",18696
11001004702,"Northwest Washington, Washington, DC",18617
11001004701,"Northwest Washington, Washington, DC",18171
11001007200,"Capitol Riverfront, Washington, DC",18069
11001009802,"Southeast Washington, Washington, DC",17808
51013980100,"Arlington, VA",
51013980200,"Arlington, VA",
51059980300,"McLean, VA",
11001006202,"Northwest Washington, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
